Project,PI Email,Data Manager Email,Tag Manufacturer,Tag Model,Tag Serial Number,PTT,Deployment ID,Deployment Start Datetime,Deployment Stop Datetime,Species,Animal ID,Animal Length_cm,length_method_capture,length_type_capture,length_unit_capture,Animal Sex,Animal Age class,Data Embargo Until Date,geospatial_lat_start,geospatial_lon_start,end_details,end_type,geospatial_lat_end,geospatial_lon_end,Comments
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",106744,160424_2016_106744,8/27/16 0:00,2/15/17 0:00,Prionace glauca,160424_2016_106744,277,measured,total length,cm,male,adult,1/1/20 0:00,41.40433,-69.29867,Argos,stopped transmitting,35.089,-73.915,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",106745,160424_2016_106745,8/28/16 0:00,12/17/17 0:00,Prionace glauca,160424_2016_106745,270,measured,total length,cm,male,adult,1/1/20 0:00,41.5205,-69.4275,Argos,stopped transmitting,38.074,-52.57,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",106746,160424_2016_106746,8/28/16 0:00,4/15/17 0:00,Prionace glauca,160424_2016_106746,262,measured,total length,cm,male,adult,1/1/20 0:00,41.53667,-69.41883,Argos,stopped transmitting,32.155,-70.76,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",106747,160424_2016_106747,10/18/16 0:00,7/30/17 0:00,Prionace glauca,160424_2016_106747,244,measured,total length,cm,male,adult,1/1/20 0:00,41.46667,-69.33333,Argos,stopped transmitting,37.923,-40.626,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",106748,160424_2016_106748,8/27/16 0:00,12/6/16 0:00,Prionace glauca,160424_2016_106748,245,measured,total length,cm,male,adult,1/1/20 0:00,41.09457,-69.38033,Argos,stopped transmitting,39.012,-55.435,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",132346,160424_2013_132346,7/28/13 0:00,3/12/14 0:00,Prionace glauca,160424_2013_132346,unknown,measured,total length,cm,unknown,unknown,1/1/20 0:00,40.987,-71.788,Argos,stopped transmitting,11.098,-81.132,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",141195,160424_2014_141195,7/12/14 0:00,9/15/14 0:00,Prionace glauca,160424_2014_141195,295,measured,total length,cm,male,adult,1/1/20 0:00,40.987,-71.788,mortality,captured,38.66,-66.995,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",141261,160424_2015_141261,10/13/15 0:00,8/3/16 0:00,Prionace glauca,160424_2015_141261,254,measured,total length,cm,male,adult,1/1/20 0:00,41.32127,-69.27583,Argos,stopped transmitting,44.941,-64.271,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",141262,160424_2016_141262,8/28/16 0:00,1/31/17 0:00,Prionace glauca,160424_2016_141262,220.5,measured,total length,cm,male,adult,1/1/20 0:00,41.53533,-69.4195,Argos,stopped transmitting,19.209,-55.837,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",141263,160424_2016_141263,8/25/16 0:00,11/5/16 0:00,Prionace glauca,160424_2016_141263,248,measured,total length,cm,male,adult,1/1/20 0:00,41.487,-69.326,mortality,captured and killed by Spanish longliner,41.7833,-53.65,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",141264,160424_2015_141264,10/21/15 0:00,4/3/16 0:00,Prionace glauca,160424_2015_141264,254,measured,total length,cm,male,adult,1/1/20 0:00,41.58733,-69.44667,Argos,stopped transmitting,40.693,-68.875,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",141265,160424_2016_141265,8/27/16 0:00,2/5/17 0:00,Prionace glauca,160424_2016_141265,241,measured,total length,cm,male,adult,1/1/20 0:00,41.09457,-69.38033,Argos,stopped transmitting,36.143,-42.921,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
BluesEddies,cdbraun@uw.edu,cdbraun@uw.edu,Wildlife Computers,SPOT,"unknown, assigned unique deployment ID instead",141266,160424_2016_141266,9/10/16 0:00,12/27/16 0:00,Prionace glauca,160424_2016_141266,254,measured,total length,cm,male,adult,1/1/20 0:00,41.75,-69.83333,Argos,stopped transmitting,11.066,-53.917,"full explanation of custom, additional metadata can be found at https://github.com/camrinbraun/tagbase "
