DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
106748,106748,UT,22:47:14 17-Aug-2016,Argos,3,41.5309,-70.6642,185,765,44,105,,,,,,
106748,106748,UT,22:47:14 17-Aug-2016,Argos,3,41.5309,-70.6642,185,765,44,105,,,,,,
106748,106748,UT,22:49:49 17-Aug-2016,Argos,3,41.5310,-70.6640,,,,,,,,,,
106748,106748,UT,02:56:12 28-Aug-2016,Argos,0,41.4879,-69.1861,2649,4367,1607,38,,,,,,
106748,106748,UT,02:59:15 28-Aug-2016,Argos,0,41.4880,-69.1860,,,,,,,,,,
106748,106748,UT,09:21:27 28-Aug-2016,Argos,B,41.5710,-69.0000,,,,,,,,,,
106748,106748,UT,09:21:49 28-Aug-2016,Argos,B,41.5705,-68.9996,,,,,,,,,,
106748,106748,UT,09:22:11 28-Aug-2016,Argos,B,41.5630,-69.0240,,,,,,,,,,
106748,106748,UT,09:22:40 28-Aug-2016,Argos,B,41.5635,-69.0241,,,,,,,,,,
106748,106748,UT,10:07:37 28-Aug-2016,Argos,0,41.5113,-69.0235,3739,38783,360,104,,,,,,
106748,106748,UT,10:08:33 28-Aug-2016,Argos,0,41.5110,-69.0230,,,,,,,,,,
106748,106748,UT,14:26:32 28-Aug-2016,Argos,0,41.4620,-68.9885,2765,11911,641,84,,,,,,
106748,106748,UT,14:31:53 28-Aug-2016,Argos,0,41.4620,-68.9880,,,,,,,,,,
106748,106748,UT,17:23:05 28-Aug-2016,Argos,0,41.4123,-68.9935,2334,5330,1021,158,,,,,,
106748,106748,UT,17:24:56 28-Aug-2016,Argos,0,41.4120,-68.9930,,,,,,,,,,
106748,106748,UT,18:59:46 28-Aug-2016,Argos,0,41.3767,-68.9686,9401,179111,493,73,,,,,,
106748,106748,UT,19:01:36 28-Aug-2016,Argos,0,41.3770,-68.9690,,,,,,,,,,
106748,106748,UT,20:45:13 28-Aug-2016,Argos,A,41.3470,-68.9560,,,,,,,,,,
106748,106748,UT,20:46:18 28-Aug-2016,Argos,A,41.3468,-68.9557,15459,109549,2181,38,,,,,,
106748,106748,UT,22:21:52 28-Aug-2016,Argos,0,41.4325,-68.8286,6240,129045,301,53,,,,,,
106748,106748,UT,23:18:27 28-Aug-2016,Argos,1,41.3143,-69.0292,1197,1522,940,90,,,,,,
106748,106748,UT,23:18:57 28-Aug-2016,Argos,1,41.3140,-69.0290,,,,,,,,,,
106748,106748,UT,23:47:16 28-Aug-2016,Argos,1,41.3430,-69.0800,,,,,,,,,,
106748,106748,UT,23:47:54 28-Aug-2016,Argos,1,41.3433,-69.0796,1090,2308,514,108,,,,,,
106748,106748,UT,01:47:06 29-Aug-2016,Argos,1,41.3771,-69.0193,1374,8021,235,91,,,,,,
106748,106748,UT,01:47:28 29-Aug-2016,Argos,1,41.3770,-69.0190,,,,,,,,,,
106748,106748,UT,02:31:39 29-Aug-2016,Argos,B,41.3430,-69.1000,,,,,,,,,,
106748,106748,UT,02:32:00 29-Aug-2016,Argos,B,41.3435,-69.1003,10642,175924,643,62,,,,,,
106748,106748,UT,17:13:47 29-Aug-2016,Argos,0,41.4980,-68.9120,,,,,,,,,,
106748,106748,UT,17:14:30 29-Aug-2016,Argos,0,41.4977,-68.9123,1890,9802,364,90,,,,,,
106748,106748,UT,20:19:00 29-Aug-2016,Argos,B,41.4160,-69.0630,,,,,,,,,,
106748,106748,UT,20:20:06 29-Aug-2016,Argos,B,41.4158,-69.0632,6424,55344,745,87,,,,,,
106748,106748,UT,21:30:14 29-Aug-2016,Argos,B,41.2830,-68.9810,,,,,,,,,,
106748,106748,UT,21:30:36 29-Aug-2016,Argos,B,41.2830,-68.9808,38495,647441,2288,17,,,,,,
106748,106748,UT,21:34:17 29-Aug-2016,Argos,0,41.4916,-68.9727,4896,9689,2474,141,,,,,,
106748,106748,UT,21:36:52 29-Aug-2016,Argos,0,41.4920,-68.9730,,,,,,,,,,
106748,106748,UT,23:09:27 29-Aug-2016,Argos,A,41.5497,-69.2143,25425,515720,1253,87,,,,,,
106748,106748,UT,23:10:03 29-Aug-2016,Argos,A,41.5500,-69.2140,,,,,,,,,,
106748,106748,UT,02:08:28 30-Aug-2016,Argos,0,41.8427,-68.6316,6723,125072,361,58,,,,,,
106748,106748,UT,02:09:15 30-Aug-2016,Argos,0,41.8430,-68.6320,,,,,,,,,,
106748,106748,UT,08:48:47 30-Aug-2016,Argos,A,41.6410,-69.0610,,,,,,,,,,
106748,106748,UT,08:51:00 30-Aug-2016,Argos,A,41.6405,-69.0611,2070,27140,157,54,,,,,,
106748,106748,UT,08:51:27 30-Aug-2016,Argos,A,41.5556,-68.9749,1513,14527,157,109,,,,,,
106748,106748,UT,08:51:33 30-Aug-2016,Argos,A,41.5560,-68.9750,,,,,,,,,,
106748,106748,UT,17:02:39 30-Aug-2016,Argos,B,41.8070,-68.9960,,,,,,,,,,
106748,106748,UT,17:03:00 30-Aug-2016,Argos,B,41.8066,-68.9963,1796,29494,109,46,,,,,,
106748,106748,UT,18:37:27 30-Aug-2016,Argos,A,41.7160,-69.0970,,,,,,,,,,
106748,106748,UT,18:40:34 30-Aug-2016,Argos,A,41.7158,-69.0967,362,5131,25,79,,,,,,
106748,106748,UT,22:39:36 30-Aug-2016,Argos,B,41.9790,-68.8590,,,,,,,,,,
106748,106748,UT,22:39:58 30-Aug-2016,Argos,B,41.9786,-68.8589,4012,72783,221,57,,,,,,
106748,106748,UT,03:35:32 31-Aug-2016,Argos,Z,40.7440,-70.5300,,,,,,,,,,Lat > 4 deviations from mean
106748,106748,UT,03:35:33 31-Aug-2016,Argos,Z,40.7439,-70.5299,11445,143112,915,50,,,,,,Lat > 4 deviations from mean
106748,106748,UT,07:03:51 31-Aug-2016,Argos,2,41.8660,-69.1896,477,2822,80,69,,,,,,
106748,106748,UT,07:04:38 31-Aug-2016,Argos,2,41.8660,-69.1900,,,,,,,,,,
106748,106748,UT,09:33:03 31-Aug-2016,Argos,A,41.8550,-69.0740,,,,,,,,,,
106748,106748,UT,09:33:23 31-Aug-2016,Argos,A,41.8555,-69.0736,73537,610513,8857,134,,,,,,
106748,106748,UT,09:59:08 31-Aug-2016,Argos,0,41.8859,-69.3036,12235,411042,364,80,,,,,,
106748,106748,UT,10:00:17 31-Aug-2016,Argos,0,41.8860,-69.3040,,,,,,,,,,
106748,106748,UT,16:47:06 31-Aug-2016,Argos,B,42.0000,-69.1600,,,,,,,,,,
106748,106748,UT,16:48:44 31-Aug-2016,Argos,B,41.9997,-69.1599,3090,14405,662,68,,,,,,
106748,106748,UT,18:31:48 31-Aug-2016,Argos,0,42.0204,-69.1885,3487,64946,187,94,,,,,,
106748,106748,UT,18:34:43 31-Aug-2016,Argos,0,42.0200,-69.1890,,,,,,,,,,
106748,106748,UT,21:16:41 31-Aug-2016,Argos,B,42.1510,-69.0260,,,,,,,,,,
106748,106748,UT,21:17:03 31-Aug-2016,Argos,B,42.1513,-69.0265,21934,343987,1398,25,,,,,,
106748,106748,UT,22:13:50 31-Aug-2016,Argos,0,41.9823,-69.0359,1782,5472,580,47,,,,,,
106748,106748,UT,22:17:07 31-Aug-2016,Argos,0,41.9820,-69.0360,,,,,,,,,,
106748,106748,UT,22:39:45 31-Aug-2016,Argos,1,41.9830,-69.0180,,,,,,,,,,
106748,106748,UT,22:41:02 31-Aug-2016,Argos,1,41.9827,-69.0179,789,3430,181,90,,,,,,
106748,106748,UT,23:48:21 31-Aug-2016,Argos,B,42.0240,-69.0230,,,,,,,,,,
106748,106748,UT,23:49:14 31-Aug-2016,Argos,B,42.0240,-69.0226,4553,35024,591,139,,,,,,
106748,106748,UT,22:27:39 01-Sep-2016,Argos,A,41.9370,-68.9020,,,,,,,,,,
106748,106748,UT,22:27:39 01-Sep-2016,Argos,0,41.9600,-68.8580,,,,,,,,,,
106748,106748,UT,10:39:08 02-Sep-2016,Argos,1,41.7530,-69.0360,,,,,,,,,,
106748,106748,UT,10:42:36 02-Sep-2016,Argos,1,41.7550,-69.0350,,,,,,,,,,
106748,106748,UT,10:53:01 02-Sep-2016,Argos,2,41.7540,-69.0520,,,,,,,,,,
106748,106748,UT,23:45:53 03-Sep-2016,Argos,A,41.3440,-69.3400,,,,,,,,,,
106748,106748,UT,23:59:27 03-Sep-2016,Argos,A,41.3600,-69.3650,,,,,,,,,,
106748,106748,UT,00:29:58 04-Sep-2016,Argos,1,41.3470,-69.3350,,,,,,,,,,
106748,106748,UT,21:13:08 04-Sep-2016,Argos,0,41.4160,-69.0840,,,,,,,,,,
106748,106748,UT,21:48:16 04-Sep-2016,Argos,1,41.4200,-69.0810,,,,,,,,,,
106748,106748,UT,21:54:10 04-Sep-2016,Argos,1,41.3980,-69.0990,,,,,,,,,,
106748,106748,UT,22:50:35 04-Sep-2016,Argos,2,41.3760,-69.0730,,,,,,,,,,
106748,106748,UT,19:12:52 05-Sep-2016,Argos,0,41.4650,-68.8390,,,,,,,,,,
106748,106748,UT,21:44:57 05-Sep-2016,Argos,1,41.4200,-68.8120,,,,,,,,,,
106748,106748,UT,17:21:50 06-Sep-2016,Argos,1,41.7350,-68.4400,,,,,,,,,,
106748,106748,UT,19:00:57 06-Sep-2016,Argos,3,41.7950,-68.4090,,,,,,,,,,
106748,106748,UT,16:58:22 08-Sep-2016,Argos,0,42.1630,-67.1640,,,,,,,,,,
106748,106748,UT,18:38:35 08-Sep-2016,Argos,1,42.1980,-67.1050,,,,,,,,,,
106748,106748,UT,18:23:16 09-Sep-2016,Argos,B,42.2810,-66.5790,,,,,,,,,,
106748,106748,UT,22:28:18 09-Sep-2016,Argos,A,42.2560,-66.6510,,,,,,,,,,
106748,106748,UT,22:38:57 09-Sep-2016,Argos,B,42.3030,-66.6080,,,,,,,,,,
106748,106748,UT,18:16:49 10-Sep-2016,Argos,2,42.2820,-66.6590,,,,,,,,,,
106748,106748,UT,20:47:57 10-Sep-2016,Argos,B,42.3550,-66.5660,,,,,,,,,,
106748,106748,UT,22:37:38 12-Sep-2016,Argos,A,42.2940,-66.9010,,,,,,,,,,
106748,106748,UT,22:53:54 12-Sep-2016,Argos,A,42.2950,-66.9020,,,,,,,,,,
106748,106748,UT,00:48:53 13-Sep-2016,Argos,A,42.3570,-66.9080,,,,,,,,,,
106748,106748,UT,20:50:00 13-Sep-2016,Argos,B,42.2410,-66.8920,,,,,,,,,,
106748,106748,UT,19:13:42 14-Sep-2016,Argos,1,42.2430,-66.5690,,,,,,,,,,
106748,106748,UT,20:47:09 17-Sep-2016,Argos,B,42.0050,-65.9230,,,,,,,,,,
106748,106748,UT,06:32:08 20-Sep-2016,Argos,B,42.3560,-66.3940,,,,,,,,,,
106748,106748,UT,23:20:24 23-Sep-2016,Argos,A,42.3310,-67.2520,,,,,,,,,,
106748,106748,UT,23:20:46 23-Sep-2016,Argos,B,42.3330,-67.2400,,,,,,,,,,
106748,106748,UT,18:47:25 25-Sep-2016,Argos,1,42.3240,-66.8190,,,,,,,,,,
106748,106748,UT,21:14:22 25-Sep-2016,Argos,B,42.3330,-66.8640,,,,,,,,,,
106748,106748,UT,22:30:17 25-Sep-2016,Argos,2,42.2810,-66.9080,,,,,,,,,,
106748,106748,UT,22:53:16 25-Sep-2016,Argos,2,42.2740,-66.9110,,,,,,,,,,
106748,106748,UT,23:18:49 27-Sep-2016,Argos,B,42.2350,-66.4250,,,,,,,,,,
106748,106748,UT,19:54:07 28-Sep-2016,Argos,A,42.1120,-66.3780,,,,,,,,,,
106748,106748,UT,21:12:18 28-Sep-2016,Argos,B,42.0680,-66.3690,,,,,,,,,,
106748,106748,UT,01:53:38 29-Sep-2016,Argos,B,42.0830,-66.3460,,,,,,,,,,
106748,106748,UT,18:01:29 29-Sep-2016,Argos,3,41.7990,-65.8300,,,,,,,,,,
106748,106748,UT,01:32:03 30-Sep-2016,Argos,1,41.8940,-65.9760,,,,,,,,,,
106748,106748,UT,07:57:27 01-Oct-2016,Argos,B,42.1460,-64.8800,,,,,,,,,,
106748,106748,UT,23:56:27 02-Oct-2016,Argos,A,42.3720,-66.3070,,,,,,,,,,
106748,106748,UT,00:28:03 03-Oct-2016,Argos,B,42.3790,-66.3100,,,,,,,,,,
106748,106748,UT,09:54:25 03-Oct-2016,Argos,2,42.3530,-66.1570,,,,,,,,,,
106748,106748,UT,11:33:50 03-Oct-2016,Argos,B,42.3210,-66.0680,,,,,,,,,,
106748,106748,UT,17:15:55 03-Oct-2016,Argos,B,42.1890,-65.9760,,,,,,,,,,
106748,106748,UT,11:23:01 04-Oct-2016,Argos,A,41.7200,-65.6720,,,,,,,,,,
106748,106748,UT,22:38:57 05-Oct-2016,Argos,A,41.5360,-66.0100,,,,,,,,,,
106748,106748,UT,17:37:44 10-Oct-2016,Argos,A,41.8620,-65.7150,,,,,,,,,,
106748,106748,UT,21:17:53 10-Oct-2016,Argos,B,41.8620,-65.6380,,,,,,,,,,
106748,106748,UT,21:37:59 10-Oct-2016,Argos,B,41.8660,-65.8690,,,,,,,,,,
106748,106748,UT,08:42:30 11-Oct-2016,Argos,A,41.8740,-65.7510,,,,,,,,,,
106748,106748,UT,22:36:32 11-Oct-2016,Argos,2,41.7930,-65.7780,,,,,,,,,,
106748,106748,UT,07:08:33 14-Oct-2016,Argos,B,41.4680,-65.7840,,,,,,,,,,
106748,106748,UT,19:58:47 15-Oct-2016,Argos,B,41.5150,-65.4120,,,,,,,,,,
106748,106748,UT,21:13:41 18-Oct-2016,Argos,B,41.2880,-63.9640,,,,,,,,,,
106748,106748,UT,22:54:27 20-Oct-2016,Argos,B,41.4890,-68.1130,,,,,,,,,,
106748,106748,UT,11:16:54 22-Oct-2016,Argos,B,41.9120,-68.2490,,,,,,,,,,
106748,106748,UT,18:40:32 22-Oct-2016,Argos,B,39.9300,-66.8960,,,,,,,,,,
106748,106748,UT,21:54:25 22-Oct-2016,Argos,3,40.8120,-62.6130,,,,,,,,,,
106748,106748,UT,20:50:07 23-Oct-2016,Argos,A,41.0430,-62.0720,,,,,,,,,,
106748,106748,UT,18:16:31 24-Oct-2016,Argos,A,41.3810,-61.7900,,,,,,,,,,
106748,106748,UT,09:49:38 25-Oct-2016,Argos,B,41.6280,-61.3750,,,,,,,,,,
106748,106748,UT,22:00:00 26-Oct-2016,Argos,B,41.8810,-60.3270,,,,,,,,,,
106748,106748,UT,09:13:26 29-Oct-2016,Argos,B,42.0210,-59.4370,,,,,,,,,,
106748,106748,UT,09:22:01 29-Oct-2016,Argos,1,42.5090,-56.9770,,,,,,,,,,
106748,106748,UT,05:41:30 30-Oct-2016,Argos,B,41.9220,-58.7660,,,,,,,,,,
106748,106748,UT,14:03:12 02-Nov-2016,Argos,B,42.0540,-58.2630,,,,,,,,,,
106748,106748,UT,22:20:11 02-Nov-2016,Argos,B,41.7930,-57.6930,,,,,,,,,,
106748,106748,UT,18:03:31 03-Nov-2016,Argos,B,41.3570,-57.6890,,,,,,,,,,
106748,106748,UT,21:16:41 03-Nov-2016,Argos,A,41.2730,-57.6910,,,,,,,,,,
106748,106748,UT,06:25:57 04-Nov-2016,Argos,A,41.0920,-57.5910,,,,,,,,,,
106748,106748,UT,09:14:37 07-Nov-2016,Argos,B,40.3780,-59.3890,,,,,,,,,,
106748,106748,UT,17:17:43 07-Nov-2016,Argos,1,40.4820,-59.5600,,,,,,,,,,
106748,106748,UT,19:01:20 07-Nov-2016,Argos,B,40.5200,-59.5720,,,,,,,,,,
106748,106748,UT,21:21:47 07-Nov-2016,Argos,B,40.6460,-59.5570,,,,,,,,,,
106748,106748,UT,22:59:46 07-Nov-2016,Argos,A,40.5930,-59.6390,,,,,,,,,,
106748,106748,UT,17:06:41 08-Nov-2016,Argos,B,41.1590,-59.5260,,,,,,,,,,
106748,106748,UT,08:38:09 09-Nov-2016,Argos,B,41.4660,-59.4760,,,,,,,,,,
106748,106748,UT,21:16:02 11-Nov-2016,Argos,B,41.4340,-58.0850,,,,,,,,,,
106748,106748,UT,00:01:29 12-Nov-2016,Argos,B,41.5050,-58.1210,,,,,,,,,,
106748,106748,UT,09:56:05 13-Nov-2016,Argos,B,41.4010,-57.2730,,,,,,,,,,
106748,106748,UT,23:14:35 30-Nov-2016,Argos,B,39.4360,-56.3800,,,,,,,,,,
106748,106748,UT,08:30:44 05-Dec-2016,Argos,B,38.4420,-55.5540,,,,,,,,,,
106748,106748,UT,21:14:04 05-Dec-2016,Argos,B,38.6350,-56.6790,,,,,,,,,,
106748,106748,UT,01:42:18 06-Dec-2016,Argos,B,39.0120,-55.4350,,,,,,,,,,
