DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Beamer",132346,SPOT,2013-07-29 09:40:21,Argos,B,40.65999985,-71.78900146,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 11:47:56,Argos,A,40.69100189,-71.80801392,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 11:47:56,Argos,A,40.69100189,-71.80799866,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 15:58:21,Argos,B,40.68099976,-71.73300171,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 16:38:58,Argos,B,40.60499954,-71.74200439,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 16:49:22,Argos,A,40.54800034,-71.62100220,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 17:39:59,Argos,A,40.54499817,-71.54000854,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 19:18:58,Argos,0,40.51300049,-71.50698853,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 19:18:58,Argos,0,40.51300049,-71.50700378,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 19:53:41,Argos,1,40.51699829,-71.58599854,1500,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 20:59:31,Argos,A,40.48500061,-71.54501343,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 20:59:31,Argos,A,40.48500061,-71.54499817,,,,,,,,,
"Beamer",132346,SPOT,2013-07-29 21:28:19,Argos,B,40.47399902,-71.54199219,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 00:54:53,Argos,1,40.51399994,-71.48098755,1500,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 00:54:53,Argos,1,40.51200104,-71.48800659,1500,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 00:54:53,Argos,1,40.51399994,-71.48100281,1500,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 01:49:47,Argos,B,40.50099945,-71.48000336,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 01:50:33,Argos,B,40.48899841,-71.47399902,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 02:27:20,Argos,A,40.52600098,-71.46099854,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 04:59:59,Argos,0,40.53499985,-71.40100098,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 06:47:09,Argos,A,40.52500153,-71.35800171,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 07:38:49,Argos,A,40.53200150,-71.30700684,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 08:07:16,Argos,B,40.53300095,-71.32998657,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 08:07:16,Argos,B,40.53300095,-71.33000183,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 08:26:26,Argos,B,40.52700043,-71.33200073,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 09:23:05,Argos,A,40.52000046,-71.27899170,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 09:48:23,Argos,1,40.50699997,-71.27398682,1500,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 09:48:23,Argos,1,40.50699997,-71.27400208,1500,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 11:31:37,Argos,B,40.50500107,-71.20599365,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 13:10:06,Argos,A,40.45000076,-71.23199463,,,,,,,,,
"Beamer",132346,SPOT,2013-07-30 13:11:34,Argos,0,40.50500107,-71.17498779,,,,,,,,,
