DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
Larry,141268,SPOT,DS,1,0,0,,,13:29:49 14-Oct-2015,MA,,,,,,,,401650000,
Larry,141268,SPOT,DS,1,0,0,,,13:29:49 14-Oct-2015,A,,,,,,,,,
Larry,141268,SPOT,DS,1,0,0,,,22:43:30 14-Oct-2015,NN,,,,,,,,401650000,-130
Larry,141268,SPOT,DS,1,0,0,,,22:43:30 14-Oct-2015,N,,,,,,,,401650000,-130
Larry,141268,SPOT,DS,4,0,1,52,49,01:45:03 15-Oct-2015,MB,,,,,,,,401650000,-127
Larry,141268,SPOT,DS,4,0,1,52,49,01:43:14 15-Oct-2015,B,,,,,,,,401650000,-127
Larry,141268,SPOT,DS,1,0,0,,,11:08:34 15-Oct-2015,NN,,,,,,,,401650000,-124
Larry,141268,SPOT,DS,1,0,0,,,11:08:34 15-Oct-2015,N,,,,,,,,401650000,-124
Larry,141268,SPOT,DS,1,0,0,,,11:25:03 15-Oct-2015,NK,,,,,,,,401650000,-120
Larry,141268,SPOT,DS,1,0,0,,,11:25:03 15-Oct-2015,K,,,,,,,,401650000,-120
Larry,141268,SPOT,DS,2,0,0,46,46,07:13:59 16-Oct-2015,NP,,,,,,,,401650000,-129
Larry,141268,SPOT,DS,2,0,0,46,46,07:13:13 16-Oct-2015,P,,,,,,,,401650000,-129
Larry,141268,SPOT,DS,4,0,0,79,45,10:46:34 16-Oct-2015,SR,2,41.3027,-68.5923,41.3027,-68.5923,50,,401677552,-125
Larry,141268,SPOT,DS,4,0,0,79,45,10:47:44 16-Oct-2015,R,2,41.3030,-68.5920,,,50,,401677552,-125
Larry,141268,SPOT,DS,5,0,1,80,47,10:50:18 16-Oct-2015,NN,1,41.3005,-68.5796,41.3005,-68.5796,50,,401650000,-123
Larry,141268,SPOT,DS,5,0,1,80,47,10:52:17 16-Oct-2015,N,1,41.3010,-68.5800,,,50,,401650000,-123
Larry,141268,SPOT,DS,3,0,0,299,229,11:02:05 16-Oct-2015,NK,A,41.2930,-68.5545,43.1544,-78.3888,60,,401677553,-124
Larry,141268,SPOT,DS,3,0,0,299,229,11:02:52 16-Oct-2015,K,A,41.2930,-68.5550,,,60,,401677553,-124
Larry,141268,SPOT,DS,3,0,0,116,48,12:40:16 16-Oct-2015,NK,A,41.2644,-68.5973,41.2644,-68.5973,8,,401677569,-135
Larry,141268,SPOT,DS,3,0,0,116,48,12:38:44 16-Oct-2015,K,A,41.2640,-68.5970,,,8,,401677569,-135
Larry,141268,SPOT,DS,2,0,1,140,140,12:49:52 16-Oct-2015,MA,B,41.2860,-68.5625,41.2860,-68.5625,,,401677565,-130
Larry,141268,SPOT,DS,2,0,1,140,140,12:49:52 16-Oct-2015,A,B,41.2860,-68.5620,,,,,401677565,-130
Larry,141268,SPOT,DS,3,0,1,220,59,14:33:22 16-Oct-2015,MA,A,41.2713,-68.6540,41.2591,-68.6008,8,,401677552,-119
Larry,141268,SPOT,DS,3,0,1,59,59,14:32:53 16-Oct-2015,A,A,41.2710,-68.6540,,,8,,401677553,-119
Larry,141268,SPOT,DS,4,0,1,172,93,16:57:09 16-Oct-2015,NP,2,41.2882,-68.7098,41.2882,-68.7098,58,,401677553,-132
Larry,141268,SPOT,DS,4,0,1,172,93,16:57:56 16-Oct-2015,P,2,41.2880,-68.7100,,,58,,401677553,-132
Larry,141268,SPOT,DS,3,0,0,170,48,20:14:59 16-Oct-2015,NP,A,41.2478,-68.7296,41.2478,-68.7296,8,,401677546,-131
Larry,141268,SPOT,DS,3,0,0,170,48,20:19:51 16-Oct-2015,P,A,41.2480,-68.7300,,,8,,401677546,-131
Larry,141268,SPOT,DS,2,0,1,114,114,20:36:14 16-Oct-2015,NN,B,41.2194,-68.7367,41.2194,-68.7367,,,401677552,-123
Larry,141268,SPOT,DS,2,0,0,114,114,20:37:11 16-Oct-2015,NK,B,41.2138,-68.7531,41.2138,-68.7531,,,401677554,-128
Larry,141268,SPOT,DS,2,0,0,114,114,20:36:15 16-Oct-2015,K,B,41.2140,-68.7530,,,,,401677554,-128
Larry,141268,SPOT,DS,2,0,1,114,114,20:36:15 16-Oct-2015,N,B,41.2190,-68.7370,,,,,401677552,-123
Larry,141268,SPOT,DS,1,0,0,,,00:16:53 17-Oct-2015,MA,B,41.2024,-68.8009,41.2024,-68.8009,8,,401677550,-130
Larry,141268,SPOT,DS,1,0,0,,,00:16:53 17-Oct-2015,A,B,41.2020,-68.8010,,,8,,401677550,-130
Larry,141268,SPOT,DS,4,0,1,66,48,00:37:58 17-Oct-2015,SR,1,41.1319,-68.8586,41.1319,-68.8586,60,,401677554,-127
Larry,141268,SPOT,DS,4,0,1,66,48,00:38:12 17-Oct-2015,R,1,41.1320,-68.8590,,,60,,401677554,-127
Larry,141268,SPOT,DS,3,0,0,134,48,02:46:46 17-Oct-2015,MB,A,41.1441,-68.8085,41.1441,-68.8085,8,,401677549,-132
Larry,141268,SPOT,DS,3,0,0,134,48,02:45:49 17-Oct-2015,B,A,41.1440,-68.8090,,,8,,401677549,-132
Larry,141268,SPOT,DS,4,0,0,160,45,15:51:46 17-Oct-2015,MA,2,41.2096,-68.8811,41.2096,-68.8811,50,,401677549,-126
Larry,141268,SPOT,DS,4,0,0,178,45,15:43:45 17-Oct-2015,A,2,41.2100,-68.8810,,,,,401677537,-126
Larry,141268,SPOT,DS,6,0,0,70,45,20:03:06 17-Oct-2015,NP,1,41.1727,-68.8605,41.1727,-68.8605,58,,401677553,-130
Larry,141268,SPOT,DS,6,0,0,70,45,20:06:52 17-Oct-2015,P,1,41.1730,-68.8610,,,58,,401677553,-130
Larry,141268,SPOT,DS,8,0,0,52,45,20:21:43 17-Oct-2015,NK,3,41.1782,-68.8589,41.1782,-68.8589,50,,401677552,-127
Larry,141268,SPOT,DS,8,0,0,53,45,20:21:42 17-Oct-2015,K,3,41.1780,-68.8590,,,,,401677552,-128
Larry,141268,SPOT,DS,10,0,0,58,45,20:27:15 17-Oct-2015,NN,2,41.1743,-68.8488,41.1743,-68.8488,50,,401677553,-122
Larry,141268,SPOT,DS,10,0,0,58,45,20:29:46 17-Oct-2015,N,2,41.1740,-68.8490,,,50,,401677553,-122
Larry,141268,SPOT,DS,2,0,1,67,67,00:08:34 18-Oct-2015,SR,B,41.1192,-68.8432,41.1192,-68.8432,8,,401677557,-130
Larry,141268,SPOT,DS,2,0,1,67,67,00:08:01 18-Oct-2015,R,B,41.1190,-68.8430,,,8,,401677557,-130
Larry,141268,SPOT,DS,4,0,0,155,46,00:49:34 18-Oct-2015,MB,1,41.0888,-68.8645,41.1130,-68.8267,58,,401677548,-127
Larry,141268,SPOT,DS,4,0,0,48,46,00:49:11 18-Oct-2015,B,1,41.0890,-68.8640,,,8,,401677553,-133
Larry,141268,SPOT,DS,12,0,0,56,45,01:25:43 18-Oct-2015,MA,0,41.0603,-68.8527,41.0603,-68.8527,58,,401677552,-118
Larry,141268,SPOT,DS,12,0,0,56,45,01:25:58 18-Oct-2015,A,0,41.0600,-68.8530,,,58,,401677552,-118
Larry,141268,SPOT,DS,3,0,0,75,49,02:22:58 18-Oct-2015,MB,A,41.0460,-68.8839,41.0460,-68.8839,8,,401677549,-131
Larry,141268,SPOT,DS,3,0,0,75,49,02:23:16 18-Oct-2015,B,A,41.0460,-68.8840,,,8,,401677549,-131
Larry,141268,SPOT,DS,3,0,1,74,50,03:14:19 18-Oct-2015,MA,A,41.0523,-68.8783,41.0523,-68.8783,7,,401677564,-128
Larry,141268,SPOT,DS,3,0,1,74,50,03:14:04 18-Oct-2015,A,A,41.0520,-68.8780,,,7,,401677564,-128
Larry,141268,SPOT,DS,7,0,0,82,45,11:22:40 18-Oct-2015,SR,3,41.1858,-68.8473,41.1858,-68.8473,58,,401677554,-126
Larry,141268,SPOT,DS,7,0,0,82,45,11:25:32 18-Oct-2015,R,3,41.1860,-68.8470,,,58,,401677554,-126
Larry,141268,SPOT,DS,2,0,0,165,165,11:48:40 18-Oct-2015,NK,B,41.1653,-68.8598,41.1653,-68.8598,,,401677547,-126
Larry,141268,SPOT,DS,2,0,0,165,165,11:47:18 18-Oct-2015,K,B,41.1650,-68.8600,,,,,401677547,-126
Larry,141268,SPOT,DS,1,0,0,,,12:06:16 18-Oct-2015,NN,B,41.1651,-68.8601,41.1651,-68.8601,,,401677548,-137
Larry,141268,SPOT,DS,1,0,0,,,12:06:16 18-Oct-2015,N,B,41.1650,-68.8600,,,,,401677548,-137
Larry,141268,SPOT,DS,4,0,0,73,49,19:54:12 18-Oct-2015,NK,0,41.3436,-68.8152,41.3436,-68.8152,58,,401677550,-129
Larry,141268,SPOT,DS,4,0,0,73,49,19:56:14 18-Oct-2015,K,0,41.3440,-68.8150,,,58,,401677550,-129
Larry,141268,SPOT,DS,2,0,0,73,73,19:55:37 18-Oct-2015,NP,B,41.3224,-68.7775,41.3224,-68.7775,,,401677557,-131
Larry,141268,SPOT,DS,2,0,0,73,73,19:55:01 18-Oct-2015,P,B,41.3220,-68.7780,,,,,401677557,-131
Larry,141268,SPOT,DS,7,0,1,62,46,20:15:25 18-Oct-2015,NN,2,41.3276,-68.8002,41.3276,-68.8002,50,,401677556,-122
Larry,141268,SPOT,DS,7,0,1,62,46,20:17:17 18-Oct-2015,N,2,41.3280,-68.8000,,,50,,401677556,-122
Larry,141268,SPOT,DS,6,0,2,56,45,22:01:18 18-Oct-2015,NN,0,41.3038,-68.7722,41.3038,-68.7722,48,,401677554,-130
Larry,141268,SPOT,DS,6,0,2,56,45,22:02:03 18-Oct-2015,N,0,41.3040,-68.7720,,,48,,401677554,-130
Larry,141268,SPOT,DS,5,0,2,71,46,23:09:43 18-Oct-2015,NK,0,41.2920,-68.7829,41.2920,-68.7829,58,,401677555,-130
Larry,141268,SPOT,DS,5,0,2,71,46,23:09:44 18-Oct-2015,K,0,41.2920,-68.7830,,,58,,401677555,-130
