Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
5171,141270,7,P, ,1,09-Jul-2016,05:18:04,,,,,,,0,09-Jul-2016,05:18:04,,,,,,,,,,161,118,215,58,81,138,132,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,K, ,2,09-Jul-2016,10:15:15,,,,,,,0,09-Jul-2016,10:15:15,,,,,,,,,,161,132,215,59,83,154,134,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,A, ,3,09-Jul-2016,12:29:26,,,,,,,0,09-Jul-2016,12:29:26,,,,,,,,,,161,129,86,252,71,125,120,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,P, ,4,11-Jul-2016,18:09:56,,,,,,,0,11-Jul-2016,18:09:56,,,,,,,,,,161,135,213,67,82,146,106,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,B, ,5,12-Jul-2016,13:56:18,,,,,,,0,12-Jul-2016,13:56:18,,,,,,,,,,161,141,215,60,80,162,117,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,A, ,6,14-Jul-2016,14:05:16,,,,,,,0,14-Jul-2016,14:05:16,,,,,,,,,,162,128,213,64,84,150,101,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R, ,7,14-Jul-2016,23:43:46,,,,,,,0,14-Jul-2016,23:43:46,,,,,,,,,,162,43,24,2,152,3,170,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,A, ,8,14-Jul-2016,23:43:46,,,,,,,0,14-Jul-2016,23:43:46,,,,,,,,,,146,149,106,216,181,43,90,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,K, ,9,15-Jul-2016,20:49:13,,,,,,,0,15-Jul-2016,20:49:13,,,,,,,,,,162,135,213,67,86,142,124,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,P, ,10,16-Jul-2016,05:38:51,,,,,,,0,16-Jul-2016,05:38:51,,,,,,,,,,162,126,215,60,84,138,167,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,K, ,11,18-Jul-2016,19:32:12,,,,,,,0,18-Jul-2016,19:32:12,,,,,,,,,,167,128,132,189,108,229,50,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,N, ,12,18-Jul-2016,19:32:12,,,,,,,0,18-Jul-2016,19:32:12,,,,,,,,,,163,128,87,87,8,107,79,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,K, ,13,18-Jul-2016,21:05:57,,,,,,,0,18-Jul-2016,21:05:57,,,,,,,,,,163,126,213,66,85,142,137,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,N, ,14,18-Jul-2016,21:05:57,,,,,-125,30,0,18-Jul-2016,21:05:57,,,189,,,,,,,163,126,213,66,85,142,137,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,N, ,14,18-Jul-2016,21:05:57,,,,,-125,30,0,18-Jul-2016,21:06:55,,,189,,,,,,,163,132,214,45,91,146,137,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,N, ,14,18-Jul-2016,21:05:57,,,,,-125,30,0,18-Jul-2016,21:09:06,,,189,,,,,,,163,106,211,83,87,142,136,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,A, ,15,19-Jul-2016,01:37:56,,,,,,,0,19-Jul-2016,01:37:56,,,,,,,,,,163,125,209,86,92,142,125,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R,A,16,20-Jul-2016,22:21:09,41.9280,-55.0900,,401677417,-125,40,0,20-Jul-2016,22:19:10,,,238,,,,,,,163,107,209,91,85,138,114,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R,A,16,20-Jul-2016,22:21:09,41.9280,-55.0900,,401677417,-125,40,0,20-Jul-2016,22:21:11,,,238,,,,,,,163,122,211,73,82,150,130,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R,A,16,20-Jul-2016,22:21:09,41.9280,-55.0900,,401677417,-125,40,0,20-Jul-2016,22:23:08,,,238,,,,,,,163,131,212,61,79,154,137,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R,B,17,21-Jul-2016,09:40:13,41.9480,-55.0840,,401677422,-124,8,0,21-Jul-2016,09:40:13,,,,,,,,,,163,123,213,66,77,138,157,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,P,B,18,21-Jul-2016,19:31:56,42.0520,-55.2220,,401677487,-132,8,0,21-Jul-2016,19:31:57,,,,,,,,,,167,105,212,87,90,146,141,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,P, ,19,23-Jul-2016,19:15:06,,,,,,,0,23-Jul-2016,19:15:06,,,,,,,,,,164,132,212,80,91,142,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R, ,20,24-Jul-2016,00:09:19,,,,,,,0,24-Jul-2016,00:09:19,,,,,,,,,,164,129,211,87,80,138,128,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R, ,21,24-Jul-2016,09:44:20,,,,,,,0,24-Jul-2016,09:44:20,,,,,,,,,,164,135,213,68,76,16,125,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,N,B,22,25-Jul-2016,11:36:52,41.3430,-56.8750,,401677539,-133,,0,25-Jul-2016,11:36:28,,,49,,,,,,,164,118,213,76,81,142,149,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,N,B,22,25-Jul-2016,11:36:52,41.3430,-56.8750,,401677539,-133,,0,25-Jul-2016,11:37:17,,,49,,,,,,,164,131,215,55,79,150,152,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R,B,23,29-Jul-2016,22:41:22,42.9730,-60.4920,,401677417,-133,,0,29-Jul-2016,22:40:59,,,46,,,,,,,164,149,215,61,103,146,99,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R,B,23,29-Jul-2016,22:41:22,42.9730,-60.4920,,401677417,-133,,0,29-Jul-2016,22:41:45,,,46,,,,,,,164,135,214,64,100,194,31,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,R,B,24,30-Jul-2016,00:19:40,42.9620,-60.5090,,401677447,-135,7,0,30-Jul-2016,00:19:41,,,,,,,,,,164,209,230,72,208,224,249,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,A,B,25,30-Jul-2016,01:16:07,42.9870,-60.5150,,401677470,-120,6,0,30-Jul-2016,01:16:07,,,,,,,,,,164,123,213,66,86,142,102,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,A,B,26,30-Jul-2016,02:59:41,42.9950,-60.5790,,401677407,-133,8,0,30-Jul-2016,02:59:41,,,,,,,,,,164,133,214,63,84,154,100,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,P,B,27,02-Aug-2016,07:31:16,42.7850,-60.8970,,401677328,-124,,0,02-Aug-2016,07:30:21,,,111,,,,,,,165,153,216,44,95,134,117,,,,,,,,,,,,,,,,,,,,,,,,,
5171,141270,7,P,B,27,02-Aug-2016,07:31:16,42.7850,-60.8970,,401677328,-124,,0,02-Aug-2016,07:32:12,,,111,,,,,,,165,122,215,55,77,130,117,,,,,,,,,,,,,,,,,,,,,,,,,
