"deploy_id","date","argos_lc","lon","lat"
"160424_2016_106747",2016-10-18 00:00:00,"3",-69.33333,41.46667
"160424_2016_106747",2016-10-19 03:20:00,"B",-69.355,41.309
"160424_2016_106747",2016-10-19 06:06:00,"B",-68.941,41.585
"160424_2016_106747",2016-10-19 17:30:00,"A",-68.772,41.376
"160424_2016_106747",2016-10-20 22:54:00,"0",-68.3027,41.8477
"160424_2016_106747",2016-10-20 22:56:00,"0",-68.303,41.848
"160424_2016_106747",2016-10-20 23:05:00,"0",-68.315,41.839
"160424_2016_106747",2016-10-20 23:06:00,"0",-68.3147,41.8393
"160424_2016_106747",2016-10-21 00:32:00,"0",-68.2762,41.8547
"160424_2016_106747",2016-10-21 00:33:00,"0",-68.276,41.855
"160424_2016_106747",2016-10-21 00:59:00,"1",-68.2921,41.8802
"160424_2016_106747",2016-10-21 01:01:00,"1",-68.292,41.88
"160424_2016_106747",2016-10-21 01:49:00,"2",-68.311,41.889
"160424_2016_106747",2016-10-21 17:14:00,"B",-68.67,41.788
"160424_2016_106747",2016-10-21 17:15:00,"B",-68.6701,41.7882
"160424_2016_106747",2016-10-21 22:22:00,"2",-68.5033,42.0839
"160424_2016_106747",2016-10-21 22:25:00,"2",-68.503,42.084
"160424_2016_106747",2016-10-21 23:16:00,"B",-68.57,42.046
"160424_2016_106747",2016-10-22 00:03:00,"1",-68.539,42.052
"160424_2016_106747",2016-10-22 00:04:00,"1",-68.5387,42.0521
"160424_2016_106747",2016-10-22 22:50:00,"B",-68.971,42.128
"160424_2016_106747",2016-10-22 22:51:00,"B",-68.9705,42.1275
"160424_2016_106747",2016-10-23 01:53:00,"1",-68.98,42.008
"160424_2016_106747",2016-10-23 01:55:00,"1",-68.9798,42.0083
"160424_2016_106747",2016-10-24 06:46:00,"0",-69.554,41.86
"160424_2016_106747",2016-10-24 06:50:00,"0",-69.5537,41.8601
"160424_2016_106747",2016-10-24 08:28:00,"A",-69.5494,41.8411
"160424_2016_106747",2016-10-24 08:30:00,"A",-69.549,41.841
"160424_2016_106747",2016-10-24 18:16:00,"0",-69.448,41.648
